lambdaTimes100,auditThresholdTimes100,outlierRate,n_ok,n_failed,acc_consensus,acc_mean,acc_median,acc_tmean10,err_consensus_p50,err_consensus_p95,err_consensus_p99,err_mean_p50,err_mean_p95,err_mean_p99,err_median_p50,err_median_p95,err_median_p99,err_tmean10_p50,err_tmean10_p95,err_tmean10_p99
350,6000,0.2,50,0,0,0,1,0,0.0334,0.034655,0.034751,0.0334,0.03460666666666666,0.034783666666666636,0.0014,0.0034549999999999997,0.0054339999999999935,0.0334,0.03460666666666666,0.034783666666666636
350,6000,0.4,50,0,0,0,1,0,0.0334,0.0348,0.035456999999999995,0.0334,0.0348,0.03549033333333339,0.0017499999999999998,0.003864999999999999,0.004752999999999999,0.0334,0.0348,0.03549033333333339
150,9000,0,50,0,1,1,1,1,0.001,0.002919999999999999,0.0034529999999999995,0.001016666666666697,0.002953333333333393,0.0034700000000000304,0.001,0.0033549999999999995,0.003958999999999998,0.001016666666666697,0.002953333333333393,0.0034700000000000304
150,9000,0.2,50,0,0,0,1,0,0.033549999999999996,0.034755,0.035604,0.033549999999999996,0.034718333333333365,0.035636666666666636,0.00135,0.0039749999999999985,0.0051,0.033549999999999996,0.034718333333333365,0.035636666666666636
150,9000,0.4,50,0,0,0,1,0,0.03345,0.03471,0.035151,0.0334166666666667,0.034731666666666605,0.03516733333333336,0.0014,0.0034,0.004850999999999999,0.0334166666666667,0.034731666666666605,0.03516733333333336
250,9000,0,50,0,1,1,1,1,0.0009,0.0019,0.002203999999999999,0.000866666666666606,0.001933333333333394,0.002137333333333393,0.0009,0.0023099999999999996,0.0024,0.000866666666666606,0.001933333333333394,0.002137333333333393
250,9000,0.2,50,0,0,0,1,0,0.0332,0.034355,0.034502,0.03325,0.034388333333333396,0.03455166666666667,0.00135,0.0030549999999999996,0.004211999999999997,0.03325,0.034388333333333396,0.03455166666666667
250,9000,0.4,50,0,0,0,1,0,0.0333,0.0345,0.03521,0.0333,0.034466666666666604,0.03522700000000003,0.00145,0.0035099999999999992,0.003953,0.0333,0.034466666666666604,0.03522700000000003
350,9000,0,50,0,1,1,1,1,0.0007,0.0023299999999999983,0.0026509999999999997,0.0007333333333333031,0.0022633333333333923,0.0026680000000000306,0.0008500000000000001,0.0027099999999999993,0.0035039999999999993,0.0007333333333333031,0.0022633333333333923,0.0026680000000000306
350,9000,0.2,50,0,0,0,1,0,0.0331,0.03501,0.035456999999999995,0.03316666666666661,0.03501333333333334,0.035489666666666635,0.00135,0.004954999999999999,0.005301999999999999,0.03316666666666661,0.03501333333333334,0.035489666666666635
350,9000,0.4,50,0,0,0,1,0,0.0333,0.034855,0.035153,0.033283333333333304,0.03481833333333337,0.035153666666666666,0.0013,0.0036,0.005529999999999994,0.033283333333333304,0.03481833333333337,0.035153666666666666
